freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
1.261354955000000055e+00,-2.402086109200000053e+01,0.000000000000000000e+00,2.402086109200000053e+01,-2.499368202499999825e+01,0.000000000000000000e+00,2.499368202499999825e+01
1.281374874900000016e+00,-2.338165674800000104e+01,0.000000000000000000e+00,2.338165674800000104e+01,-2.442369565799999975e+01,0.000000000000000000e+00,2.442369565799999975e+01
1.301394794799999977e+00,-2.285656481599999879e+01,0.000000000000000000e+00,2.285656481599999879e+01,-2.331555181199999893e+01,0.000000000000000000e+00,2.331555181199999893e+01
1.321414714699999937e+00,-2.223777365700000175e+01,0.000000000000000000e+00,2.223777365700000175e+01,-2.133978003200000018e+01,0.000000000000000000e+00,2.133978003200000018e+01
1.341434634599999898e+00,-2.149275991900000093e+01,0.000000000000000000e+00,2.149275991900000093e+01,-2.025159080999999972e+01,0.000000000000000000e+00,2.025159080999999972e+01
1.361454554599999867e+00,-2.113577080499999994e+01,0.000000000000000000e+00,2.113577080499999994e+01,-1.970420607000000146e+01,0.000000000000000000e+00,1.970420607000000146e+01
1.381474474500000049e+00,-1.985586509499999863e+01,0.000000000000000000e+00,1.985586509499999863e+01,-1.907445681700000151e+01,0.000000000000000000e+00,1.907445681700000151e+01
1.401494394400000010e+00,-1.929110417100000063e+01,0.000000000000000000e+00,1.929110417100000063e+01,-1.798680860600000031e+01,0.000000000000000000e+00,1.798680860600000031e+01
1.421514314299999970e+00,-1.859141251400000172e+01,0.000000000000000000e+00,1.859141251400000172e+01,-1.720268363099999931e+01,0.000000000000000000e+00,1.720268363099999931e+01
1.441534234200000153e+00,-1.803511519299999932e+01,0.000000000000000000e+00,1.803511519299999932e+01,-1.732890462800000009e+01,0.000000000000000000e+00,1.732890462800000009e+01
1.461554154200000122e+00,-1.792673173700000078e+01,0.000000000000000000e+00,1.792673173700000078e+01,-1.732129920199999873e+01,0.000000000000000000e+00,1.732129920199999873e+01
1.481574074099999860e+00,-1.790060847599999860e+01,0.000000000000000000e+00,1.790060847599999860e+01,-1.705249537999999987e+01,0.000000000000000000e+00,1.705249537999999987e+01
1.501593994000000043e+00,-1.698070546699999994e+01,0.000000000000000000e+00,1.698070546699999994e+01,-1.676479720200000045e+01,0.000000000000000000e+00,1.676479720200000045e+01
1.521613913900000004e+00,-1.618518519799999922e+01,0.000000000000000000e+00,1.618518519799999922e+01,-1.722096734599999834e+01,0.000000000000000000e+00,1.722096734599999834e+01
1.541633833799999964e+00,-1.596581981299999953e+01,0.000000000000000000e+00,1.596581981299999953e+01,-1.733355459199999871e+01,0.000000000000000000e+00,1.733355459199999871e+01
1.561653753799999933e+00,-1.643773180100000175e+01,0.000000000000000000e+00,1.643773180100000175e+01,-1.749282957400000171e+01,0.000000000000000000e+00,1.749282957400000171e+01
1.581673673700000116e+00,-1.664496821499999868e+01,0.000000000000000000e+00,1.664496821499999868e+01,-1.720260399700000065e+01,0.000000000000000000e+00,1.720260399700000065e+01
1.601693593599999854e+00,-1.690041161699999961e+01,0.000000000000000000e+00,1.690041161699999961e+01,-1.762958408000000077e+01,0.000000000000000000e+00,1.762958408000000077e+01
1.621713513500000037e+00,-1.766836425700000035e+01,0.000000000000000000e+00,1.766836425700000035e+01,-1.783119236399999963e+01,0.000000000000000000e+00,1.783119236399999963e+01
1.641733433399999997e+00,-1.820613791899999967e+01,0.000000000000000000e+00,1.820613791899999967e+01,-1.698062641799999994e+01,0.000000000000000000e+00,1.698062641799999994e+01
